Gene Symbol,n_sgrnas,z_scored_avg_lfc,p_value,FDR
A1CF,6,0.5641578850032373,0.7079284095566556,0.8621388438543373
A2M,6,-2.023652368121635,0.04069506485824448,0.15330853351000487
A2ML1,6,-0.37569839512245395,0.3079835527702323,0.5747491539934636
A3GALT2,6,1.015840108577856,0.8635239285391045,0.9366533150229596
A4GALT,5,-0.2737466615294555,0.3415281912540683,0.6078825350682885
A4GNT,6,0.3472212818673473,0.6133020035853842,0.8105856682176117
AAAS,6,-1.9792442608174843,0.04354649793401212,0.1612231994510831
AACS,6,0.469057525002736,0.6679658319443333,0.8400275444169484
AADAC,6,-0.8670102623382977,0.18401421699887674,0.43298880468493883
AADACL2,6,0.29955781803482123,0.5910957139442292,0.7971221149559742
AADACL3,6,0.3391163297063522,0.6095520382363634,0.8085704148006335
AAGAB,6,-5.557739344280106,1.2123575424736602e-08,1.1180504951893114e-07
AAK1,6,-1.0496066759974734,0.14888848206264454,0.38034615858867654
AAMDC,6,-0.7590138181139918,0.2073397487892208,0.4618117271859991
AAMP,6,-8.872223742866897,4.560002880042489e-73,7.398960338118203e-72
AANAT,6,-0.13886345690210858,0.39190864987672236,0.6480330193702865
AAR2,6,-5.798457363033192,1.0105304257254848e-10,9.746760763110178e-10
AARD,6,0.6628382674322648,0.7466250068349307,0.8809173972581813
AARS1,6,-12.905525040614698,9.645600328335855e-257,1.2459215639797485e-254
AARS2,6,-10.564825547215365,4.895561701390858e-136,1.305681321249494e-134
AARSD1,6,-0.08479651785577101,0.4140508405852058,0.6669019366328788
AASDH,6,-0.21217748804938064,0.3636514408183804,0.6271242081059033
AASDHPPT,6,-3.147787703292717,0.005859201710952002,0.03177805961680912
AASS,6,0.2635568320516656,0.5741214556579206,0.7846723601775577
AATF,6,-8.99737444153598,5.0249403128538925e-77,8.458934872481386e-76
ABAT,6,0.8181940574761747,0.8020641488577368,0.9094723606561164
ABCA1,6,-4.042368645579987,0.0014798469862393013,0.010241971026471425
ABCA10,6,-0.29234474101075036,0.33512930410051733,0.6008491732684863
ABCA11P,6,-0.48172341823897075,0.2766977996322405,0.542228915630339
ABCA12,6,0.8712797239631105,0.819571955027738,0.9164941179886373
ABCA13,6,1.0285983973320239,0.8671230471718916,0.9380637236250671
ABCA2,6,-4.671949455828997,0.0002651653067414962,0.0020920007812902947
ABCA3,6,-3.748184016353887,0.0025069139980780034,0.01611191588423271
ABCA4,6,-0.11213669851217577,0.402720154323169,0.6568965343255851
ABCA5,6,-0.17891092669181283,0.3762157049691631,0.6369528807766273
ABCA6,6,-0.03416240742735692,0.4357178578463177,0.6828780352590624
ABCA7,6,-2.496968659682119,0.01895256774071259,0.0847995463571888
ABCA8,6,0.4135938554701233,0.6435146701107461,0.829708973573802
ABCA9,6,0.7086171693800496,0.7636343531407929,0.889858156182818
ABCB1,6,0.4137220450171671,0.6435720738634749,0.829708973573802
ABCB10,6,0.13901731107605525,0.5149758066984405,0.7438700401752277
ABCB11,6,0.07068801904219701,0.4829670670196814,0.7197706165078022
ABCB4,6,0.48899757161591584,0.6765572421643516,0.8454385190163657
ABCB6,6,0.32380134315046544,0.6024353652443457,0.8046203027314942
ABCB7,6,-8.797473558810971,9.327484314095192e-71,1.4902107720247639e-69
ABCB8,6,-0.5944617913965996,0.2466548678585752,0.5105939199213388
ABCB9,6,-0.07378901122693174,0.4186876192462182,0.6702583673121474
ABCC1,6,-2.5920764512253878,0.01627230917246908,0.07498009936477185
ABCC10,6,0.4750004423076845,0.6705378271294506,0.8410530631812606
ABCC11,6,0.1414663101928401,0.5161340019642588,0.7443342294818774
ABCC2,4,-0.1207523682083953,0.39920588492842557,0.6536643064969404
ABCC3,6,-2.43055196898443,0.021082972926301707,0.09248896646892356
ABCC4,6,-2.2736919831519855,0.027228215821357954,0.11252848792921313
ABCC5,6,-0.546133031923417,0.25917878039045117,0.5262122700694972
ABCC6,6,0.6073713867146444,0.7252218157190475,0.8718101425824536
ABCC6P1,6,0.6073713867146444,0.7252218157190475,0.8718101425824536
ABCC6P2,6,0.6073713867146444,0.7252218157190475,0.8718101425824536
ABCC8,6,-1.1884819581262855,0.12575411114579851,0.3391482667268581
ABCC9,6,-3.6660472334093894,0.0028102793414325217,0.017730551224842343
ABCD1,6,-2.2441249387146804,0.028583448736669806,0.11688282586029493
ABCD2,6,0.6852147768771522,0.7550118102680174,0.8848967373497357
ABCD3,5,-1.761388520435935,0.059563130146677815,0.20250234665212347
ABCD4,6,0.7881206969084639,0.7918281843317106,0.903715135871682
ABCE1,6,-7.522793917268105,1.8322769145277917e-37,2.321236452680304e-36
ABCF1,5,-0.8557694127797837,0.18635378970667574,0.43657064319263067
ABCF2,6,-1.8083306247815016,0.05580823544817292,0.19292253929722605
ABCF2-H2BK1,6,-1.8083306247815016,0.05580823544817292,0.19292253929722605
ABCF3,6,-0.2083414479812012,0.3650783036508922,0.6285811972679793
ABCG1,6,0.5058100682444415,0.6837151548253372,0.8489789660604821
ABCG4,6,-0.32014689090822274,0.3258018348930447,0.5913322600626427
ABCG5,6,-1.9409107363680074,0.04611632816533478,0.1683075442752565
ABCG8,6,0.009757005395576857,0.4551618032403475,0.6976394227888155
ABHD1,5,0.8711540568273756,0.819531353408483,0.9164941179886373
ABHD10,6,1.2879619678771983,0.9283363550763539,0.9715131098745365
ABHD11,5,-5.414106460122058,1.3657736331997028e-07,1.2341922411031427e-06
ABHD12,6,0.7674712485284103,0.7846652275737396,0.9000170017512245
ABHD12B,6,-0.38916548243330545,0.30382035389632656,0.570020816701661
ABHD13,6,-1.6211838174852542,0.07197620510897446,0.23145481038409185
ABHD14A,6,-4.420901551686973,0.0006776404189905538,0.005119345413039111
ABHD14A-ACY1,6,-4.420901551686973,0.0006776404189905538,0.005119345413039111
ABHD14B,6,0.32030214485367947,0.6008039979523518,0.8040147217993181
ABHD15,6,-4.822032645181322,0.00010767336351153031,0.0008717528402615213
ABHD16A,3,-0.2854642485867182,0.33748155132990787,0.603260482899147
ABHD17A,6,-0.942406831694737,0.16885296772569752,0.40920186402979275
ABHD17B,6,-0.8894076939971897,0.17941380126787465,0.42566085887839217
ABHD17C,6,-2.894492313242959,0.009564680105614865,0.048381564608975317
ABHD2,6,-0.2057491013628435,0.3660457998128285,0.6287842800261565
ABHD3,6,-0.5445347443493589,0.2596016160672411,0.5264758069098907
