Selected Gene,Overlapping Gene,Overlapping Strand,Overlapping Gene name,Overlapping Transcript start (bp),Overlapping Transcript end (bp),Overlapping TSS,Selected Strand,Selected Gene name,Selected Transcript start (bp),Selected Transcript end (bp),Selected TSS,overlap type
ENSG00000099721,ENSG00000092377,1,TBL1Y,6910697,7091683,6910697,-1,AMELY,6865918,6911752,6911752,5.0
ENSG00000092377,ENSG00000099721,-1,AMELY,6865918,6911752,6911752,1,TBL1Y,6910697,7091683,6910697,5.0
ENSG00000102547,ENSG00000136169,1,SETDB2,49444274,49495003,49444274,-1,CAB39L,49308650,49444064,49444064,2.0
ENSG00000136147,ENSG00000136169,1,SETDB2,49444274,49495003,49444274,1,PHF11,49495953,49528976,49495953,1.0
ENSG00000204899,ENSG00000136122,1,BORA,72727923,72756196,72727923,-1,MZT1,72708367,72727629,72727629,2.0
ENSG00000120685,ENSG00000188811,1,NHLRC3,39038456,39050109,39038456,-1,PROSER1,39009865,39038089,39038089,2.0
ENSG00000083535,ENSG00000083520,-1,DIS3,72752169,72781900,72781900,1,PIBF1,72782133,73016461,72782133,2.0
ENSG00000136122,ENSG00000204899,-1,MZT1,72708367,72727629,72727629,1,BORA,72727923,72756196,72727923,2.0
ENSG00000188811,ENSG00000120685,-1,PROSER1,39009865,39038089,39038089,1,NHLRC3,39038456,39050109,39038456,2.0
ENSG00000083520,ENSG00000083535,1,PIBF1,72782133,73016461,72782133,-1,DIS3,72752169,72781900,72781900,2.0
ENSG00000134871,ENSG00000187498,-1,COL4A1,110148963,110307157,110307157,1,COL4A2,110307284,110513209,110307284,2.0
ENSG00000187498,ENSG00000134871,1,COL4A2,110307284,110513209,110307284,-1,COL4A1,110148963,110307157,110307157,2.0
ENSG00000139797,ENSG00000152767,1,FARP1,98143094,98455176,98143094,-1,RNF113B,98175785,98177269,98177269,5.0
ENSG00000198553,ENSG00000204977,1,TRIM13,49997042,50018467,49997042,1,KCNRG,50015444,50020922,50015444,6.0
ENSG00000189167,ENSG00000139618,1,BRCA2,32315508,32400268,32315508,-1,ZAR1L,32303699,32315363,32315363,2.0
