Selected Gene,Overlapping Gene,Overlapping Strand,Overlapping Gene name,Overlapping Gene start (bp),Overlapping Gene end (bp),Selected Strand,Selected Gene name,Selected Gene start (bp),Selected Gene end (bp),overlap type
ENSG00000099721,ENSG00000092377,1,TBL1Y,6910686,7101970,-1,AMELY,6865918,6911752,5.0
ENSG00000092377,ENSG00000099721,-1,AMELY,6865918,6911752,1,TBL1Y,6910686,7101970,5.0
ENSG00000292345,ENSG00000292338,-1,DHRSX,2219506,2502805,-1,ZBED1,2486414,2500976,6.0
ENSG00000132952,ENSG00000189403,-1,HMGB1,30456704,30617597,1,USPL1,30617693,30660770,2.0
ENSG00000189403,ENSG00000132952,1,USPL1,30617693,30660770,-1,HMGB1,30456704,30617597,2.0
ENSG00000273167,ENSG00000182957,1,SPATA13,23979805,24307074,1,,23979700,24321031,3.0
ENSG00000240654,ENSG00000182957,1,SPATA13,23979805,24307074,1,C1QTNF9,24307166,24322535,1.0
ENSG00000240654,ENSG00000273167,1,,23979700,24321031,1,C1QTNF9,24307166,24322535,6.0
ENSG00000102547,ENSG00000136169,1,SETDB2,49444274,49495003,-1,CAB39L,49308650,49444064,2.0
ENSG00000136147,ENSG00000136169,1,SETDB2,49444274,49495003,1,PHF11,49495610,49528981,1.0
ENSG00000204899,ENSG00000136122,1,BORA,72727749,72756198,-1,MZT1,72708367,72727629,2.0
ENSG00000120685,ENSG00000188811,1,NHLRC3,39038306,39050109,-1,PROSER1,39009865,39038089,2.0
ENSG00000083535,ENSG00000083520,-1,DIS3,72752169,72782096,1,PIBF1,72782133,73016461,2.0
ENSG00000136122,ENSG00000204899,-1,MZT1,72708367,72727629,1,BORA,72727749,72756198,2.0
ENSG00000120690,ENSG00000120688,1,WBP4,41061509,41084006,-1,ELF1,40931924,41061440,2.0
ENSG00000204918,ENSG00000229665,1,PRR20C,57140918,57157082,1,PRR20B,57147488,57150509,6.0
ENSG00000204919,ENSG00000229665,1,PRR20C,57140918,57157082,1,PRR20A,57140918,57143939,3.0
ENSG00000182957,ENSG00000273167,1,,23979700,24321031,1,SPATA13,23979805,24307074,3.0
ENSG00000188811,ENSG00000120685,-1,PROSER1,39009865,39038089,1,NHLRC3,39038306,39050109,2.0
ENSG00000120688,ENSG00000120690,-1,ELF1,40931924,41061440,1,WBP4,41061509,41084006,2.0
ENSG00000083520,ENSG00000083535,1,PIBF1,72782133,73016461,-1,DIS3,72752169,72782096,2.0
ENSG00000134871,ENSG00000187498,-1,COL4A1,110148963,110307157,1,COL4A2,110305812,110513209,5.0
ENSG00000229665,ENSG00000204919,1,PRR20A,57140918,57143939,1,PRR20C,57140918,57157082,3.0
ENSG00000187498,ENSG00000134871,1,COL4A2,110305812,110513209,-1,COL4A1,110148963,110307157,5.0
ENSG00000139797,ENSG00000152767,1,FARP1,98142562,98455176,-1,RNF113B,98175785,98177269,5.0
ENSG00000198553,ENSG00000204977,1,TRIM13,49995888,50020481,1,KCNRG,50015254,50020922,6.0
ENSG00000189167,ENSG00000139618,1,BRCA2,32315086,32400268,-1,ZAR1L,32303699,32315363,2.0
ENSG00000281106,ENSG00000285444,-1,,51763951,51845159,-1,TMEM272,51813347,51845177,3.0
ENSG00000102796,ENSG00000285444,-1,,51763951,51845159,-1,DHRS12,51767993,51804163,6.0
ENSG00000136167,ENSG00000173988,1,LRRC63,46211928,46277115,-1,LCP1,46125920,46211871,2.0
ENSG00000270181,ENSG00000134897,1,BIVM,102799119,102841533,1,BIVM-ERCC5,102799110,102875994,3.0
ENSG00000270181,ENSG00000134901,-1,POGLUT2,102784281,102799040,1,BIVM-ERCC5,102799110,102875994,2.0
ENSG00000134901,ENSG00000134897,1,BIVM,102799119,102841533,-1,POGLUT2,102784281,102799040,2.0
ENSG00000134901,ENSG00000270181,1,BIVM-ERCC5,102799110,102875994,-1,POGLUT2,102784281,102799040,2.0
ENSG00000134897,ENSG00000134901,-1,POGLUT2,102784281,102799040,1,BIVM,102799119,102841533,2.0
ENSG00000134897,ENSG00000270181,1,BIVM-ERCC5,102799110,102875994,1,BIVM,102799119,102841533,3.0
ENSG00000134899,ENSG00000270181,1,BIVM-ERCC5,102799110,102875994,1,ERCC5,102845831,102875995,6.0
ENSG00000136159,ENSG00000136143,-1,SUCLA2,47745736,48037968,1,NUDT15,48037726,48047221,2.0
ENSG00000136143,ENSG00000136159,1,NUDT15,48037726,48047221,-1,SUCLA2,47745736,48037968,2.0
ENSG00000169508,ENSG00000134882,1,UBAC2,99200774,99386504,-1,GPR183,99294539,99307399,5.0
ENSG00000125245,ENSG00000134882,1,UBAC2,99200774,99386504,-1,GPR18,99254732,99261744,5.0
ENSG00000139826,ENSG00000174405,-1,LIG4,108207439,108218368,1,ABHD13,108218392,108234243,2.0
ENSG00000136161,ENSG00000139687,1,RB1,48303744,48599436,-1,RCBTB2,48488963,48533256,5.0
ENSG00000139679,ENSG00000139687,1,RB1,48303744,48599436,-1,LPAR6,48389567,48444704,5.0
ENSG00000134905,ENSG00000153487,1,ING1,110712736,110723339,-1,CARS2,110641412,110713603,2.0
ENSG00000253797,ENSG00000253710,1,ALG11,52012391,52079232,1,UTP14C,52024691,52033600,6.0
