Selected Gene,Selected Gene name,Selected Strand,Selected TSS,Overlapping Gene,Overlapping Gene name,Overlapping Strand,Overlapping TSS
ENSG00000102547,CAB39L,-1,49444064,ENSG00000136169,SETDB2,1,49444274
ENSG00000204899,MZT1,-1,72727629,ENSG00000136122,BORA,1,72727923
ENSG00000120685,PROSER1,-1,39038089,ENSG00000188811,NHLRC3,1,39038456
ENSG00000083535,PIBF1,1,72782133,ENSG00000083520,DIS3,-1,72781900
ENSG00000136122,BORA,1,72727923,ENSG00000204899,MZT1,-1,72727629
ENSG00000188811,NHLRC3,1,39038456,ENSG00000120685,PROSER1,-1,39038089
ENSG00000083520,DIS3,-1,72781900,ENSG00000083535,PIBF1,1,72782133
ENSG00000134871,COL4A2,1,110307284,ENSG00000187498,COL4A1,-1,110307157
ENSG00000187498,COL4A1,-1,110307157,ENSG00000134871,COL4A2,1,110307284
ENSG00000189167,ZAR1L,-1,32315363,ENSG00000139618,BRCA2,1,32315508
ENSG00000134897,BIVM,1,102799119,ENSG00000134901,POGLUT2,-1,102798976
ENSG00000123191,ATP7B,-1,52011450,ENSG00000253710,ALG11,1,52012398
ENSG00000288716,,-1,77326988,ENSG00000005810,MYCBP2,-1,77327094
ENSG00000136169,SETDB2,1,49444274,ENSG00000102547,CAB39L,-1,49444064
ENSG00000165480,SKA3,-1,21176552,ENSG00000173141,MRPL57,1,21176658
ENSG00000173141,MRPL57,1,21176658,ENSG00000165480,SKA3,-1,21176552
ENSG00000151773,CCDC122,-1,43879740,ENSG00000179630,LACC1,1,43879904
ENSG00000179630,LACC1,1,43879904,ENSG00000151773,CCDC122,-1,43879740
ENSG00000150401,DCUN1D2,-1,113490711,ENSG00000150403,TMCO3,1,113491021
ENSG00000150403,TMCO3,1,113491021,ENSG00000150401,DCUN1D2,-1,113490711
ENSG00000005810,MYCBP2,-1,77327094,ENSG00000288716,,-1,77326988
ENSG00000253710,ALG11,1,52012398,ENSG00000123191,ATP7B,-1,52011450
ENSG00000126226,PCID2,-1,113208669,ENSG00000139842,CUL4A,1,113209613
ENSG00000139842,CUL4A,1,113209613,ENSG00000126226,PCID2,-1,113208669
ENSG00000134901,POGLUT2,-1,102798976,ENSG00000134897,BIVM,1,102799119
ENSG00000083635,NUFIP1,-1,44989471,ENSG00000133114,GPALPP1,1,44989538
ENSG00000133114,GPALPP1,1,44989538,ENSG00000083635,NUFIP1,-1,44989471
ENSG00000139618,BRCA2,1,32315508,ENSG00000189167,ZAR1L,-1,32315363
ENSG00000243927,MRPS6,1,34073578,ENSG00000198743,SLC5A3,1,34073578
ENSG00000198743,SLC5A3,1,34073578,ENSG00000243927,MRPS6,1,34073578
ENSG00000205726,ITSN1,1,33642501,ENSG00000205758,CRYZL1,-1,33641741
ENSG00000205758,CRYZL1,-1,33641741,ENSG00000205726,ITSN1,1,33642501
ENSG00000160208,RRP1B,1,43659560,ENSG00000160207,HSF2BP,-1,43659488
ENSG00000154727,GABPA,1,25734972,ENSG00000154723,ATP5PF,-1,25734904
ENSG00000185808,PIGP,-1,37073071,ENSG00000182670,TTC3,1,37073254
ENSG00000160207,HSF2BP,-1,43659488,ENSG00000160208,RRP1B,1,43659560
ENSG00000154723,ATP5PF,-1,25734904,ENSG00000154727,GABPA,1,25734972
ENSG00000160294,MCM3AP,-1,46285611,ENSG00000182362,YBEY,1,46286342
ENSG00000182362,YBEY,1,46286342,ENSG00000160294,MCM3AP,-1,46285611
ENSG00000160298,C21orf58,-1,46323870,ENSG00000160299,PCNT,1,46324156
ENSG00000159131,GART,-1,33542117,ENSG00000159140,SON,1,33543038
ENSG00000182670,TTC3,1,37073254,ENSG00000185808,PIGP,-1,37073071
ENSG00000160299,PCNT,1,46324156,ENSG00000160298,C21orf58,-1,46323870
ENSG00000159140,SON,1,33543038,ENSG00000159131,GART,-1,33542117
ENSG00000141665,FBXO15,-1,74147834,ENSG00000075336,TIMM21,1,74148523
ENSG00000134779,TPGS2,-1,36829002,ENSG00000150477,KIAA1328,1,36829127
ENSG00000141424,SLC39A6,-1,36129340,ENSG00000134759,ELP2,1,36129899
ENSG00000134759,ELP2,1,36129899,ENSG00000141424,SLC39A6,-1,36129340
ENSG00000197563,PIGN,-1,62187056,ENSG00000134444,RELCH,1,62187255
ENSG00000150477,KIAA1328,1,36829127,ENSG00000134779,TPGS2,-1,36829002
ENSG00000078043,PIAS2,-1,46917507,ENSG00000167216,KATNAL2,1,46917602
ENSG00000134444,RELCH,1,62187255,ENSG00000197563,PIGN,-1,62187056
ENSG00000177150,FAM210A,-1,13726558,ENSG00000101654,RNMT,1,13726673
ENSG00000101654,RNMT,1,13726673,ENSG00000177150,FAM210A,-1,13726558
ENSG00000075336,TIMM21,1,74148523,ENSG00000141665,FBXO15,-1,74147834
ENSG00000101574,METTL4,-1,2571505,ENSG00000080986,NDC80,1,2571557
ENSG00000080986,NDC80,1,2571557,ENSG00000101574,METTL4,-1,2571505
ENSG00000167216,KATNAL2,1,46917602,ENSG00000078043,PIAS2,-1,46917507
ENSG00000166845,C18orf54,1,54357906,ENSG00000174448,STARD6,-1,54357858
ENSG00000174448,STARD6,-1,54357858,ENSG00000166845,C18orf54,1,54357906
ENSG00000101624,CEP76,-1,12702723,ENSG00000128789,PSMG2,1,12703042
ENSG00000128789,PSMG2,1,12703042,ENSG00000101624,CEP76,-1,12702723
ENSG00000089101,CFAP61,1,20052532,ENSG00000101343,CRNKL1,-1,20052466
ENSG00000132825,PPP1R3D,-1,59940305,ENSG00000196227,FAM217B,1,59940389
ENSG00000101182,PSMA7,-1,62143394,ENSG00000184402,SS18L1,1,62143769
ENSG00000184402,SS18L1,1,62143769,ENSG00000101182,PSMA7,-1,62143394
ENSG00000196227,FAM217B,1,59940389,ENSG00000132825,PPP1R3D,-1,59940305
ENSG00000244462,RBM12,-1,35664900,ENSG00000214078,CPNE1,-1,35664900
ENSG00000126003,PLAGL2,-1,32207743,ENSG00000101346,POFUT1,1,32207880
ENSG00000185019,UBOX5,-1,3159865,ENSG00000215251,FASTKD5,-1,3159865
ENSG00000125871,MGME1,1,17969018,ENSG00000089006,SNX5,-1,17968794
ENSG00000232838,PET117,1,18137863,ENSG00000149474,KAT14,1,18137863
ENSG00000132801,ZSWIM3,1,45857614,ENSG00000101473,ACOT8,-1,45857392
ENSG00000089006,SNX5,-1,17968794,ENSG00000125871,MGME1,1,17969018
ENSG00000244005,NFS1,-1,35699352,ENSG00000125995,ROMO1,1,35699405
ENSG00000125995,ROMO1,1,35699405,ENSG00000244005,NFS1,-1,35699352
ENSG00000214078,CPNE1,-1,35664900,ENSG00000244462,RBM12,-1,35664900
ENSG00000124116,WFDC3,-1,45791883,ENSG00000101457,DNTTIP1,1,45791954
ENSG00000101457,DNTTIP1,1,45791954,ENSG00000124116,WFDC3,-1,45791883
ENSG00000087586,AURKA,-1,56392215,ENSG00000101138,CSTF1,1,56392645
ENSG00000101138,CSTF1,1,56392645,ENSG00000087586,AURKA,-1,56392215
ENSG00000101247,NDUFAF5,1,13785028,ENSG00000089048,ESF1,-1,13784919
ENSG00000124217,MOCS3,1,50958818,ENSG00000000419,DPM1,-1,50958532
ENSG00000101343,CRNKL1,-1,20052466,ENSG00000089101,CFAP61,1,20052532
ENSG00000124257,NEURL2,-1,45891208,ENSG00000064601,CTSA,1,45891335
ENSG00000089048,ESF1,-1,13784919,ENSG00000101247,NDUFAF5,1,13785028
ENSG00000000419,DPM1,-1,50958532,ENSG00000124217,MOCS3,1,50958818
ENSG00000101246,ARFRP1,-1,63707976,ENSG00000197114,ZGPAT,1,63708039
ENSG00000197114,ZGPAT,1,63708039,ENSG00000101246,ARFRP1,-1,63707976
ENSG00000132635,PCED1A,-1,2840655,ENSG00000215305,VPS16,1,2840745
ENSG00000215305,VPS16,1,2840745,ENSG00000132635,PCED1A,-1,2840655
ENSG00000149599,DUSP15,-1,31870527,ENSG00000131044,TTLL9,1,31870634
ENSG00000149474,KAT14,1,18137863,ENSG00000232838,PET117,1,18137863
ENSG00000215251,FASTKD5,-1,3159865,ENSG00000185019,UBOX5,-1,3159865
ENSG00000100983,GSS,-1,34955806,ENSG00000078814,MYH7B,1,34955868
ENSG00000132664,POLR3F,1,18467390,ENSG00000089091,DZANK1,-1,18467030
ENSG00000101473,ACOT8,-1,45857392,ENSG00000132801,ZSWIM3,1,45857614
ENSG00000180383,DEFB124,-1,31475127,ENSG00000088320,REM1,1,31475288
ENSG00000088320,REM1,1,31475288,ENSG00000180383,DEFB124,-1,31475127
ENSG00000089195,TRMT6,-1,5950533,ENSG00000125885,MCM8,1,5950652
ENSG00000125885,MCM8,1,5950652,ENSG00000089195,TRMT6,-1,5950533
ENSG00000089091,DZANK1,-1,18467030,ENSG00000132664,POLR3F,1,18467390
ENSG00000131044,TTLL9,1,31870634,ENSG00000149599,DUSP15,-1,31870527
ENSG00000171700,RGS19,-1,64079518,ENSG00000125510,OPRL1,1,64080082
ENSG00000101346,POFUT1,1,32207880,ENSG00000126003,PLAGL2,-1,32207743
ENSG00000064601,CTSA,1,45891335,ENSG00000124257,NEURL2,-1,45891208
ENSG00000125510,OPRL1,1,64080082,ENSG00000171700,RGS19,-1,64079518
ENSG00000078814,MYH7B,1,34955868,ENSG00000100983,GSS,-1,34955806
ENSG00000101407,TTI1,-1,38033456,ENSG00000101413,RPRD1B,1,38033746
ENSG00000101413,RPRD1B,1,38033746,ENSG00000101407,TTI1,-1,38033456
ENSG00000182858,ALG12,-1,49918438,ENSG00000184164,CRELD2,1,49918634
ENSG00000100380,ST13,-1,40856639,ENSG00000196236,XPNPEP3,1,40857148
ENSG00000196236,XPNPEP3,1,40857148,ENSG00000100380,ST13,-1,40856639
